,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
40,0500000US08031,"Denver County, Colorado",418381,1,8,5.2,2.6,9.4,4.3,3.9,8,18.8,20.3,9.7,5,3.7,08,031
41,0500000US08005,"Arapahoe County, Colorado",353686,1.1,7.4,5.2,3.2,9.8,6.6,3.2,9.3,14.6,20.4,10.5,4.2,4.4,08,005
42,0500000US48215,"Hidalgo County, Texas",338116,2.8,9.4,5.2,2.8,12.4,4.6,1.3,4.3,8,28.7,10.5,5.2,4.9,48,215
43,0500000US48453,"Travis County, Texas",706327,0.6,6.9,7.6,2,9.1,3.6,3.7,7,20.4,19.7,10.1,4.2,5,48,453
44,0500000US10003,"New Castle County, Delaware",276075,0.8,5.3,8.7,2.2,11.1,5.8,1.2,10.5,11.3,25,8.5,4.7,4.9,10,003
45,0500000US11001,"District of Columbia, District of Columbia",380983,0.3,2.7,1.3,0.4,4.4,3.4,3.9,6.5,23.9,18.8,9.7,8.8,16,11,001
46,0500000US09009,"New Haven County, Connecticut",432459,0.3,6.2,10.7,2.3,11.6,4.4,1.8,6.4,9.3,30.1,8.5,5.1,3.4,09,009
47,0500000US09001,"Fairfield County, Connecticut",480867,0.3,6.6,8.1,2.5,9.8,3.7,2.6,11.1,16.1,22.6,8.3,5.9,2.5,09,001
48,0500000US48491,"Williamson County, Texas",288185,0.6,7,9.6,2.1,10.1,3.4,2.6,7.7,16.6,21.9,8.4,4.8,5.3,48,491
49,0500000US48201,"Harris County, Texas",2269657,2.9,10.9,9.1,3.1,10.5,7,1.3,5.7,12.8,19.3,9.5,5.5,2.4,48,201
50,0500000US48113,"Dallas County, Texas",1333559,0.7,10.5,8.4,3,10.6,7.1,2.2,8.3,14.5,17.2,9.4,5.7,2.4,48,113
51,0500000US48339,"Montgomery County, Texas",284354,5.5,10.1,8.5,3.3,10.3,6.1,1.5,4.2,12.7,20.1,8,7,2.7,48,339
52,0500000US48157,"Fort Bend County, Texas",383153,4.1,5.2,8.8,3.1,11.7,5,1.1,7.3,13.2,25.1,7.2,4.6,3.5,48,157
53,0500000US48439,"Tarrant County, Texas",1044561,1,8,9.6,3.5,12.2,8.9,1.5,8,10.6,18.9,9.7,5,3,48,439
54,0500000US13135,"Gwinnett County, Georgia",472029,0.1,9.4,9.6,3.2,11.5,5.7,3.3,6.1,13.1,18.7,9.7,6.5,3,13,135
55,0500000US12031,"Duval County, Florida",462060,0.2,6.8,5.2,2.5,12.1,6.7,1.3,10,13.5,21.2,10.1,6,4.5,12,031
56,0500000US12057,"Hillsborough County, Florida",701413,1.1,6.6,4.9,2.7,11.7,5.6,2,11.2,14.7,21.3,9.9,4.5,3.8,12,057
57,0500000US12009,"Brevard County, Florida",257032,0.4,6.9,11.9,1.2,11.5,4.1,1.6,5.5,14.2,20.7,11.8,5.3,4.9,12,009
58,0500000US12011,"Broward County, Florida",973193,0.2,7,4.6,3.2,12.1,7.5,2,7.5,14.9,20.5,10.8,5.8,4,12,011
59,0500000US12086,"Miami-Dade County, Florida",1373136,0.7,8.4,4.5,3.8,10.7,8.3,1.8,7.8,13.4,20.2,10.9,5.9,3.5,12,086
60,0500000US12071,"Lee County, Florida",322460,0.4,12.9,2.5,2.4,14.5,5.3,1.4,6.6,12.8,21.7,11.7,4.5,3.3,12,071
61,0500000US12095,"Orange County, Florida",702972,0.3,7.4,4.6,2,11.6,5.9,2.2,6.9,13.8,19.6,17.5,5.1,3.2,12,095
62,0500000US12105,"Polk County, Florida",303647,1.2,9.2,5.8,2.6,14.2,7.1,1.3,6.2,10.7,18.9,14.6,4.8,3.4,12,105
63,0500000US12099,"Palm Beach County, Florida",692533,1.1,7.2,4.3,2.3,12.6,5,1.7,7.5,16.8,19.7,12.2,6.6,2.9,12,099
64,0500000US12127,"Volusia County, Florida",235204,0.6,8.7,6.6,2.5,14.2,5.3,1.5,8,10.4,20.9,11.6,5.3,4.3,12,127
65,0500000US49049,"Utah County, Utah",290186,1,7.5,8.3,1.9,13.1,2.5,3.3,5.9,16.5,24,8.2,5,2.7,49,049
66,0500000US13089,"DeKalb County, Georgia",395842,0.1,5.8,5.8,2.2,10,7.7,3.3,6.8,17.8,23,8.6,4.4,4.5,13,089
67,0500000US42045,"Delaware County, Pennsylvania",278643,0.2,5.2,7.3,1.9,10.2,6.2,1.8,8.5,12.6,29.7,8.3,4.9,3.3,42,045
68,0500000US42101,"Philadelphia County, Pennsylvania",714190,0.2,4.2,6.5,2.1,9.2,6.6,2,5.8,12.3,31.4,9.3,5.1,5.5,42,101
69,0500000US42003,"Allegheny County, Pennsylvania",631382,0.5,5.2,8.1,2.3,10.7,4.6,1.9,9,13.3,27.2,8.7,4.8,3.6,42,003
70,0500000US42029,"Chester County, Pennsylvania",277332,2.7,5.5,10.8,2.7,10.1,3.2,2.1,10.9,16,22.2,7.6,4.1,2.1,42,029
71,0500000US49035,"Salt Lake County, Utah",599675,0.6,7.9,9.9,2.2,11.2,5.5,1.8,9,13.1,22.3,8.7,4.5,3.4,49,035
72,0500000US13067,"Cobb County, Georgia",408750,0.1,6.8,8,2.4,10.9,5.8,3.3,8.3,18.1,18.3,10.6,3.7,3.6,13,067
73,0500000US13121,"Fulton County, Georgia",544695,0.3,3.5,5.7,2.9,8.7,6.9,4,8.9,21.8,18.7,10.5,4.7,3.4,13,121
74,0500000US15003,"Honolulu County, Hawaii",472885,0.7,7.2,3.1,1.9,11,7.3,1.5,6.4,9.4,22.3,15.1,4.3,9.8,15,003
75,0500000US17031,"Cook County, Illinois",2585305,0.2,4.8,9.5,2.6,9.5,7.7,2,7.8,14.9,23.1,9.5,5,3.5,17,031
76,0500000US29189,"St. Louis County, Missouri",498663,0.7,5,10.5,2.8,11.1,4.5,2.2,9.2,13.2,25.2,8.5,4.6,2.5,29,189
77,0500000US29095,"Jackson County, Missouri",353167,0.3,7.2,9,2.2,10.8,5.7,2.2,7.6,12.9,22.3,9.4,5.2,5,29,095
78,0500000US51059,"Fairfax County, Virginia",619552,0.2,5.4,2.3,0.8,7.6,3.9,2.4,6.6,26.2,18.5,8.3,6.3,11.6,51,059
79,0500000US53033,"King County, Washington",1233478,0.5,5.1,8.4,2.4,11.8,4.9,3.1,6.1,20.8,19.8,9.9,4.3,2.8,53,033
