,Unnamed: 0,0,NAME,GEO_ID,DP03_0068E,DP03_0069E,DP03_0066E,DP03_0067E,DP03_0064E,DP03_0065E,DP03_0062E,DP03_0063E,DP03_0060E,DP03_0061E,DP03_0070E,DP03_0071E,DP03_0078E,DP03_0079E,DP03_0076E,DP03_0077E,DP03_0074E,DP03_0075E,DP03_0072E,DP03_0073E,DP03_0082E,DP03_0083E,DP03_0080E,DP03_0081E,DP03_0088E,DP03_0089E,DP03_0086E,DP03_0087E,DP03_0084E,DP03_0085E,DP03_0094E,DP03_0092E,DP03_0093E,DP03_0090E,DP03_0091E,DP03_0058E,DP03_0059E,DP03_0056E,DP03_0057E,DP03_0054E,DP03_0055E,DP03_0052E,DP03_0053E,DP03_0051E,state,place,CITY,STATE
584,585,585,"Town 'n' Country CDP, Florida",1600000US1272145,4468,19234,9129,17197,24397,70360,51778,68614,1163,1106,1741,12588,1986,2437,1249,370,4900,20545,1080,2499,1899,3279,3080,4434,25857,9661,53881,73521,916,895,33016,29432,41217,41295,53492,3120,4294,4075,6398,3968,3619,1613,850,30206,12,72145,Town 'n' Country, Florida
585,586,586,"Meridian city, Idaho",1600000US1652120,6339,21284,7017,21276,30109,100608,77359,96009,2876,2531,1390,15376,977,1213,240,169,1869,26215,566,3838,6259,5149,1509,5374,34476,9640,86741,113185,2794,2531,42983,40939,59946,33411,45759,6462,6584,2755,7216,2877,2725,1509,320,35855,16,52120,Meridian, Idaho
586,587,587,"Nampa city, Idaho",1600000US1656260,6700,19991,11678,19596,25450,57527,47997,56152,563,0,1731,11712,1464,2927,868,141,4469,21991,1906,1571,3150,3673,3433,5906,20886,12298,60525,64807,429,0,32347,27856,37232,31165,38676,3538,4598,5746,8125,4960,3859,1463,1437,34289,16,56260,Nampa, Idaho
587,588,588,"Aurora city, Illinois",1600000US1703012,8210,26027,15084,19976,56870,92332,69463,91714,4581,6257,1800,9812,2502,3682,870,1015,9329,49163,1123,3770,6785,8834,6787,9561,29804,16621,75567,97924,3694,5433,37013,31361,47899,42418,61279,8336,11213,9204,12079,4650,5504,2119,1841,65784,17,3012,Aurora, Illinois
588,589,589,"Peoria city, Illinois",1600000US1759000,8629,29953,13593,18553,33935,80024,56454,79741,2196,2655,1532,10232,1885,1854,1211,1045,6613,25777,1457,2750,3490,4020,2468,5568,32472,19756,70105,105643,1758,2478,40112,31931,56525,30111,42795,5207,5243,4267,9789,5237,3797,4809,2333,45533,17,59000,Peoria, Illinois
589,590,590,"Schaumburg village, Illinois",1600000US1768003,3452,36594,5851,19286,24925,94485,84146,94043,3024,1137,894,11780,580,895,302,169,1491,18162,143,2287,3520,4340,1638,3326,37278,10640,90983,103290,2327,1065,50701,43949,60887,65010,75836,5861,6181,3225,5204,1332,1280,1100,458,28802,17,68003,Schaumburg, Illinois
590,591,591,"Iowa City city, Iowa",1600000US1938595,3986,30131,6774,19394,26124,70994,46053,70916,1390,2082,568,8974,1311,1015,1138,323,3229,14412,355,1143,2351,2771,1187,1690,29903,17421,80314,100601,1082,1544,45050,22203,45224,32390,44926,3244,3925,4013,4353,3491,2838,4501,1996,31833,19,38595,Iowa City, Iowa
591,592,592,"Kansas City city, Kansas",1600000US2036000,6985,21450,16175,18024,44689,58990,46291,57501,1413,968,4572,9195,3767,3696,1646,830,8144,35968,549,1622,4270,4881,6143,8745,21859,20619,55122,66152,1367,623,34983,29725,40859,28412,37338,5634,6252,8926,11695,6557,7134,5533,2475,56587,20,36000,Kansas City, Kansas
592,593,593,"Lawrence city, Kansas",1600000US2038900,5133,22781,9033,18982,34291,68783,50985,69788,1997,1809,1304,7987,1186,877,687,416,1972,19775,470,-999999999,2902,4003,2339,4262,29404,20632,75795,96843,1519,1584,39434,24972,51350,29871,41179,3851,5466,5136,7912,4442,3724,4089,1981,40407,20,38900,Lawrence, Kansas
593,594,594,"Lawrence city, Massachusetts",1600000US2534550,1617,10673,6139,11294,19814,63183,41356,55028,754,539,4802,9837,2732,1886,617,1128,9741,18065,3392,2388,1916,2010,2961,3650,19026,7927,48269,61839,663,502,32414,26818,40207,15944,27172,2663,2806,3502,3981,3403,3092,2688,2564,25992,25,34550,Lawrence, Massachusetts
