,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,"Atlanta city, Georgia",1600000US1304000,272562,272303,414891,272303,-888888888.0,259,142329,256891,15412,36738,25359,134083,126158,212771,134200,48515,35744,13,04000
38,"Sandy Springs city, Georgia",1600000US1368516,64926,64926,90008,64926,-888888888.0,0,25082,63542,1384,7121,4068,28658,27714,46152,28658,14249,11019,13,68516
39,"South Fulton city, Georgia",1600000US1372122,55029,54959,82353,54959,-888888888.0,70,27324,51649,3310,4434,2499,30829,29413,45833,30829,12262,7966,13,72122
40,"Warner Robins city, Georgia",1600000US1380508,40950,39962,60629,39962,-888888888.0,988,19679,37229,2733,5086,4519,-999999999,-999999999,-999999999,-999999999,11800,8746,13,80508
41,"Boise City city, Idaho",1600000US1608830,125754,125154,188722,125154,-888888888.0,600,62968,120973,4181,12834,9145,60105,58288,94582,60138,28750,20890,16,08830
42,"Decatur city, Illinois",1600000US1718823,34750,34750,58328,34750,-888888888.0,0,23578,32094,2656,5326,4029,17324,16275,31578,17324,8153,6802,17,18823
43,"Joliet city, Illinois",1600000US1738570,81306,81257,111685,81257,-888888888.0,49,30379,75999,5258,10650,7448,37491,34771,55572,37491,27334,21189,17,38570
44,"Skokie village, Illinois",1600000US1770122,30501,30501,50336,30501,-888888888.0,0,19835,29011,1490,3702,3165,14231,13503,25514,14231,10828,7136,17,70122
45,"Springfield city, Illinois",1600000US1772000,58954,58860,92856,58860,-888888888.0,94,33902,54462,4398,7261,5641,29568,27953,48815,29568,15381,12597,17,72000
46,"Hammond city, Indiana",1600000US1831000,33151,33151,58861,33151,-888888888.0,0,25710,31565,1586,4518,1866,14264,13451,29071,14264,14323,5776,18,31000
47,"Sioux City city, Iowa",1600000US1973335,43264,43242,62071,43242,-888888888.0,22,18807,40867,2375,7376,5866,19632,18786,31425,19632,14270,11386,19,73335
48,"Waterloo city, Iowa",1600000US1982425,35419,35159,54908,35159,-888888888.0,260,19489,33221,1938,5544,4486,16467,15741,27042,16467,8272,6149,19,82425
49,"Wichita city, Kansas",1600000US2079000,200300,199478,301252,199478,-888888888.0,822,100952,189701,9777,29574,20256,94277,90856,153262,94353,63975,46662,20,79000
50,"Bossier City city, Louisiana",1600000US2208920,35157,33006,54252,33006,-888888888.0,2151,19095,31441,1565,5624,3919,16064,15449,28255,16503,9915,7072,22,08920
51,"Ellicott City CDP, Maryland",1600000US2426000,39371,39157,56269,39157,-888888888.0,214,16898,37833,1324,3514,2625,-999999999,-999999999,-999999999,-999999999,14671,11131,24,26000
52,"Boston city, Massachusetts",1600000US2507000,411423,411008,596657,411008,-888888888.0,415,185234,382784,28224,40900,32624,210488,197975,312525,210548,63894,50949,25,07000
53,"Quincy city, Massachusetts",1600000US2555745,56481,56106,80869,56106,-888888888.0,375,24388,52443,3663,5272,3357,27608,25345,42104,27608,8773,5901,25,55745
54,"Troy city, Michigan",1600000US2680700,42472,42401,68589,42401,-888888888.0,71,26117,41152,1249,-999999999,-999999999,18959,18390,35387,18959,-999999999,-999999999,26,80700
55,"Maple Grove city, Minnesota",1600000US2740166,41309,41309,58052,41309,-888888888.0,0,16743,40309,1000,5198,4301,-999999999,-999999999,-999999999,-999999999,11296,8750,27,40166
56,"Independence city, Missouri",1600000US2935000,61432,61326,94387,61326,-888888888.0,106,32955,58806,2520,5988,4650,29463,28255,49761,29463,17284,13738,29,35000
57,"St. Joseph city, Missouri",1600000US2964550,36684,36310,60241,36310,-888888888.0,374,23557,34248,2062,5933,3919,16727,16083,29742,16746,9864,7642,29,64550
58,"Lincoln city, Nebraska",1600000US3128000,166481,166307,230172,166307,-888888888.0,174,63691,160800,5507,20740,15628,79412,76863,115238,79517,39403,32152,31,28000
59,"North Las Vegas city, Nevada",1600000US3251800,117859,116234,184283,116234,-888888888.0,1625,66424,109673,6561,19964,13208,55297,52046,93978,55663,45701,28489,32,51800
60,"Manchester city, New Hampshire",1600000US3345140,62769,62591,90435,62591,-888888888.0,178,27666,60181,2410,9088,5951,29264,28191,45907,29442,13750,10071,33,45140
61,"Cary town, North Carolina",1600000US3710740,95078,95078,133273,95078,-888888888.0,0,38195,91990,3088,11405,7344,44967,43227,69406,44967,28638,21852,37,10740
62,"Jacksonville city, North Carolina",1600000US3734200,46207,20491,58341,20491,-888888888.0,25716,12134,18933,1558,6334,3949,11866,11052,21989,13536,8348,5563,37,34200
63,"Wilmington city, North Carolina",1600000US3774440,62972,62553,104142,62553,-888888888.0,419,41170,59983,2570,4894,3260,32404,30406,56712,32404,15315,10443,37,74440
64,"Bismarck city, North Dakota",1600000US3807200,40759,40759,58335,40759,-888888888.0,0,17576,40025,734,-999999999,-999999999,19751,19387,29993,19751,-999999999,-999999999,38,07200
65,"Columbus city, Ohio",1600000US3918000,501258,500879,717827,500879,-888888888.0,379,216569,475606,25273,69491,48087,248452,237421,373522,248559,118672,85976,39,18000
66,"Cranston city, Rhode Island",1600000US4419180,45038,45038,67525,45038,-888888888.0,0,22487,44070,968,5211,3524,-999999999,-999999999,-999999999,-999999999,9616,6678,44,19180
67,"Pawtucket city, Rhode Island",1600000US4454640,41546,41546,59579,41546,-888888888.0,0,18033,38681,2865,-999999999,-999999999,19534,18685,29783,19534,-999999999,-999999999,44,54640
68,"Franklin city, Tennessee",1600000US4727740,43941,43941,63228,43941,-888888888.0,0,19287,42565,1376,5933,2982,20971,20253,33876,20971,14229,9466,47,27740
69,"Memphis city, Tennessee",1600000US4748000,321445,321321,504651,321321,-888888888.0,124,183206,290457,30864,55927,40440,167004,150629,274371,167083,95540,72917,47,48000
70,"Allen city, Texas",1600000US4801924,59737,59659,81244,59659,-888888888.0,78,21507,57355,2304,-999999999,-999999999,26466,25260,41056,26466,-999999999,-999999999,48,01924
71,"Brownsville city, Texas",1600000US4810768,77344,77212,135416,77212,-888888888.0,132,58072,72373,4839,16260,9554,36546,34715,71113,36546,34329,19523,48,10768
72,"Fort Worth city, Texas",1600000US4827000,454586,453459,677911,453459,-888888888.0,1127,223325,425825,27634,80699,48351,201402,187959,344444,201523,156028,106745,48,27000
73,"Georgetown city, Texas",1600000US4829336,31412,31297,60297,31297,-888888888.0,115,28885,29407,1890,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,48,29336
74,"Midland city, Texas",1600000US4848072,79096,79096,106557,79096,-888888888.0,0,27461,77728,1368,-999999999,-999999999,35149,34600,51985,35149,-999999999,-999999999,48,48072
75,"Sugar Land city, Texas",1600000US4870808,62169,62049,97442,62049,-888888888.0,120,35273,58988,3061,5400,2656,29206,28009,50918,29206,18403,14498,48,70808
76,"Waco city, Texas",1600000US4876000,63322,63301,107546,63301,-888888888.0,21,44224,60227,3074,11927,9058,31974,29996,57102,31974,19359,13028,48,76000
77,"West Valley City city, Utah",1600000US4983470,74285,74242,103140,74242,-888888888.0,43,28855,70988,3254,11196,6484,33705,32440,50405,33705,24137,16609,49,83470
78,"Alexandria city, Virginia",1600000US5101000,102411,99156,133272,99156,-888888888.0,3255,30861,96362,2794,12507,8496,49658,47612,70237,50256,15921,11502,51,01000
79,"Hampton city, Virginia",1600000US5135000,70363,65218,109757,65218,-888888888.0,5145,39394,61030,4188,9499,7184,32987,30674,57611,34578,15613,12330,51,35000
80,"Kennewick city, Washington",1600000US5335275,35697,35629,62718,35629,-888888888.0,68,27021,34038,1591,6195,3778,16436,15773,31558,16436,14920,8628,53,35275
