,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
164,"Napa city, California",1600000US0650258,43306,43253,63424,43253,-888888888.0,53,20118,40566,2687,5006,3832,20551,18660,32639,20551,12811,10823,06,50258
165,"Newport Beach city, California",1600000US0651182,45807,45807,74376,45807,-888888888.0,0,28569,44771,1036,3171,2235,-999999999,-999999999,-999999999,-999999999,9124,4214,06,51182
166,"Orange city, California",1600000US0653980,72237,72135,114931,72135,-888888888.0,102,42694,69634,2501,8868,4487,32501,31466,56591,32501,18069,11046,06,53980
167,"Redwood City city, California",1600000US0660102,51332,51332,70519,51332,-888888888.0,0,19187,49459,1873,5318,3402,24043,22860,35643,24043,11972,9212,06,60102
168,"Rocklin city, California",1600000US0662364,33033,32983,52123,32983,-888888888.0,50,19090,31158,1825,4356,2694,16585,16072,27627,16635,12492,7941,06,62364
169,"San Buenaventura (Ventura) city, California",1600000US0665042,57687,57449,91708,57449,-888888888.0,238,34021,55971,1478,6346,4834,26904,26144,46877,26904,14723,10971,06,65042
170,"San Diego city, California",1600000US0666000,787289,756361,1169164,756361,-888888888.0,30928,381875,715998,40363,100216,66026,357966,338958,583336,362231,176035,116339,06,66000
171,"San Ramon city, California",1600000US0668378,40556,40479,58236,40479,-888888888.0,77,17680,39114,1365,4119,2922,-999999999,-999999999,-999999999,-999999999,16471,11288,06,68378
172,"Visalia city, California",1600000US0682954,58757,58493,94625,58493,-888888888.0,264,35868,54744,3749,13742,8713,26548,24903,46900,26614,27250,21347,06,82954
173,"Colorado Springs city, Colorado",1600000US0816000,252936,242815,372579,242815,-888888888.0,10121,119643,232357,10458,35666,22163,114033,108444,187281,115838,71431,49047,08,16000
174,"Fort Collins city, Colorado",1600000US0827425,98639,98205,140747,98205,-888888888.0,434,42108,92797,5408,8488,5145,47407,45165,70468,47407,20896,14845,08,27425
175,"Greeley city, Colorado",1600000US0832155,52718,52568,82208,52568,-888888888.0,150,29490,49986,2582,8723,4789,24604,23349,42818,24697,17084,12707,08,32155
176,"New Haven city, Connecticut",1600000US0952000,66797,66671,102940,66671,-888888888.0,126,36143,61412,5259,9908,6880,35569,33018,55930,35688,19434,13896,09,52000
177,"Jacksonville city, Florida",1600000US1235000,474330,462897,719257,462897,-888888888.0,11433,244927,436102,26795,71178,49021,227134,212381,375126,228954,123998,91476,12,35000
178,"Kendall CDP, Florida",1600000US1236100,38112,38112,63163,38112,-888888888.0,0,25051,37026,1086,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,36100
179,"Lehigh Acres CDP, Florida",1600000US1239925,68299,68189,102210,68189,-888888888.0,110,33911,64818,3371,11527,8198,33771,31762,53011,33771,24372,19496,12,39925
180,"Miramar city, Florida",1600000US1245975,73851,73851,108124,73851,-888888888.0,0,34273,71451,2400,11823,9782,36348,35247,56645,36348,20612,15819,12,45975
181,"Palm Harbor CDP, Florida",1600000US1254350,31713,31619,55631,31619,-888888888.0,94,23918,30118,1501,3407,2653,-999999999,-999999999,-999999999,-999999999,9197,6584,12,54350
182,"Pine Hills CDP, Florida",1600000US1256825,41587,41587,66231,41587,-888888888.0,0,24644,38166,3421,8156,4369,21564,20481,36862,21564,18755,13391,12,56825
183,"Tamarac city, Florida",1600000US1270675,35135,35135,55916,35135,-888888888.0,0,20781,33633,1502,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,70675
184,"The Hammocks CDP, Florida",1600000US1271569,33276,33276,52685,33276,-888888888.0,0,19409,31622,1654,-999999999,-999999999,15614,14725,27920,15614,-999999999,-999999999,12,71569
185,"Weston city, Florida",1600000US1276582,31660,31501,50873,31501,-888888888.0,159,19213,30486,1015,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,76582
186,"Alpharetta city, Georgia",1600000US1301696,34821,34654,50039,34654,-888888888.0,167,15218,33618,1036,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13,01696
187,"Johns Creek city, Georgia",1600000US1342425,44148,43990,65955,43990,-888888888.0,158,21807,43225,765,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13,42425
188,"Savannah city, Georgia",1600000US1369000,74041,72653,115844,72653,-888888888.0,1388,41803,66619,6034,11649,8663,36734,33713,60361,36999,18638,14142,13,69000
189,"Palatine village, Illinois",1600000US1757225,38636,38636,52213,38636,-888888888.0,0,13577,37408,1228,-999999999,-999999999,19207,18848,27622,19207,-999999999,-999999999,17,57225
190,"Rockford city, Illinois",1600000US1765000,72520,72520,115830,72520,-888888888.0,0,43310,66646,5874,10776,7496,35927,33060,61504,35927,22884,15560,17,65000
191,"Noblesville city, Indiana",1600000US1854180,38347,38234,50722,38234,-888888888.0,113,12375,37210,1024,6118,4794,-999999999,-999999999,-999999999,-999999999,11417,8389,18,54180
192,"Olathe city, Kansas",1600000US2052575,77036,77036,103309,77036,-888888888.0,0,26273,74656,2380,11639,8026,35833,34975,52107,35833,28273,20994,20,52575
193,"Bowling Green city, Kentucky",1600000US2108902,38439,38302,55675,38302,-888888888.0,137,17236,36526,1776,-999999999,-999999999,19113,18093,29584,19113,-999999999,-999999999,21,08902
194,"Lexington-Fayette urban county, Kentucky",1600000US2146027,181348,181304,262377,181304,-888888888.0,44,81029,172255,9049,22238,15131,87977,84281,135628,87977,40547,32669,21,46027
195,"Kenner city, Louisiana",1600000US2239475,34170,34170,53479,34170,-888888888.0,0,19309,32511,1659,4935,2303,16118,15533,28319,16118,9220,5907,22,39475
196,"Lafayette city, Louisiana",1600000US2240735,64440,64440,102533,64440,-888888888.0,0,38093,60519,3921,9450,6322,31767,30133,51647,31767,16714,11832,22,40735
197,"Metairie CDP, Louisiana",1600000US2250115,76839,76559,116727,76559,-888888888.0,280,39888,74239,2320,8866,6873,35782,34841,59213,35782,16305,13355,22,50115
198,"Columbia CDP, Maryland",1600000US2419125,60168,59209,85978,59209,-888888888.0,959,25810,57740,1469,7151,4998,29690,28791,45609,29834,15855,12996,24,19125
199,"Gaithersburg city, Maryland",1600000US2431175,39108,38923,53742,38923,-888888888.0,185,14634,36800,2123,5430,3139,19109,18452,27686,19109,9990,6168,24,31175
200,"Germantown CDP, Maryland",1600000US2432025,49016,48856,63254,48856,-888888888.0,160,14238,47026,1830,6920,5401,-999999999,-999999999,-999999999,-999999999,13043,10395,24,32025
201,"Lowell city, Massachusetts",1600000US2537000,59685,59685,89274,59685,-888888888.0,0,29589,55594,4091,8879,6764,29031,26873,46956,29031,14949,11290,25,37000
202,"Lynn city, Massachusetts",1600000US2537490,50477,50477,74269,50477,-888888888.0,0,23792,47391,3086,7914,6121,23053,21500,36737,23053,13526,9885,25,37490
203,"Flint city, Michigan",1600000US2629000,42201,42201,74923,42201,-888888888.0,0,32722,35984,6217,8591,5709,22832,19443,40682,22832,13234,10120,26,29000
204,"Kalamazoo city, Michigan",1600000US2642160,42212,42080,64210,42080,-888888888.0,132,21998,38085,3995,4553,3468,20984,19428,32819,21116,8501,6665,26,42160
205,"Brooklyn Park city, Minnesota",1600000US2707966,45792,45792,60894,45792,-888888888.0,0,15102,44215,1577,-999999999,-999999999,23207,22662,32076,23207,-999999999,-999999999,27,07966
206,"Duluth city, Minnesota",1600000US2717000,47482,46987,73240,46987,-888888888.0,495,25758,44673,2314,4432,3229,23819,22942,37047,23819,8833,7338,27,17000
207,"Omaha city, Nebraska",1600000US3137000,256144,255235,365886,255235,-888888888.0,909,109742,243707,11528,39422,28878,123247,118434,186613,123443,70175,53513,31,37000
208,"Passaic city, New Jersey",1600000US3456550,33283,33225,51683,33225,-888888888.0,58,18400,31230,1995,6406,4567,13599,12909,25017,13657,13640,9447,34,56550
209,"Trenton city, New Jersey",1600000US3474000,38037,38037,65438,38037,-888888888.0,0,27401,34427,3610,6032,4459,18162,17248,33786,18162,13163,7448,34,74000
210,"Las Cruces city, New Mexico",1600000US3539380,48861,48764,84161,48764,-888888888.0,97,35300,45826,2938,5582,3205,22891,22672,43246,22891,13701,9665,35,39380
211,"Rochester city, New York",1600000US3663000,99679,99679,165308,99679,-888888888.0,0,65629,89579,10100,13561,10392,50154,46230,85900,50154,28457,20390,36,63000
212,"Cincinnati city, Ohio",1600000US3915000,159913,159690,244253,159690,-888888888.0,223,84340,149764,9926,23119,16054,78557,73906,126035,78557,38649,30050,39,15000
213,"Youngstown city, Ohio",1600000US3988000,30283,30262,53831,30262,-888888888.0,21,23548,24794,5468,-999999999,-999999999,14658,12251,27158,14679,-999999999,-999999999,39,88000
214,"Edmond city, Oklahoma",1600000US4023200,46935,46744,70861,46744,-888888888.0,191,23926,45263,1481,8853,5906,22053,21248,37099,22089,14380,10619,40,23200
215,"Bethlehem city, Pennsylvania",1600000US4206088,36416,36416,63448,36416,-888888888.0,0,27032,35100,1316,4420,3070,17624,17099,33437,17624,8523,6513,42,06088
216,"Erie city, Pennsylvania",1600000US4224000,46954,46954,78221,46954,-888888888.0,0,31267,43783,3171,5025,4187,23613,22113,38705,23613,14001,11477,42,24000
217,"Pittsburgh city, Pennsylvania",1600000US4261000,165573,165137,263520,165137,-888888888.0,436,97947,157610,7527,15453,11521,80764,77156,138182,80764,24351,19314,42,61000
218,"Scranton city, Pennsylvania",1600000US4269000,37842,37842,63053,37842,-888888888.0,0,25211,36383,1459,5298,3276,17618,16863,32097,17618,9590,6783,42,69000
219,"Greenville city, South Carolina",1600000US4530850,38364,38243,55543,38243,-888888888.0,121,17179,36809,1434,5910,2987,19426,18653,29449,19501,7742,5926,45,30850
220,"Rapid City city, South Dakota",1600000US4652980,38453,37957,59754,37957,-888888888.0,496,21301,36421,1536,4896,3399,18843,18167,30514,18905,10334,9115,46,52980
221,"Johnson City city, Tennessee",1600000US4738320,34004,34004,57971,34004,-888888888.0,0,23967,32453,1551,4022,2844,16746,16284,30048,16746,6652,4475,47,38320
222,"Arlington city, Texas",1600000US4804000,220060,219574,308020,219574,-888888888.0,486,87960,211698,7876,31875,20145,106717,103546,160528,106717,65032,48055,48,04000
223,"Baytown city, Texas",1600000US4806128,36495,36335,59413,36335,-888888888.0,160,22918,33282,3053,7223,4937,15556,14631,29471,15556,13237,7984,48,06128
224,"Cedar Park city, Texas",1600000US4813552,41402,41402,56838,41402,-888888888.0,0,15436,40903,499,6133,4009,-999999999,-999999999,-999999999,-999999999,14193,7828,48,13552
225,"College Station city, Texas",1600000US4815976,56558,56412,100202,56412,-888888888.0,146,43644,54082,2330,6518,3526,25845,24892,48968,25907,11261,7116,48,15976
226,"Conroe city, Texas",1600000US4816432,46748,46748,68991,46748,-888888888.0,0,22243,44962,1786,6682,4433,18804,18322,32799,18804,13437,9195,48,16432
227,"Denton city, Texas",1600000US4819972,82726,82726,118254,82726,-888888888.0,0,35528,78384,4342,6525,4732,40806,38666,61963,40806,17200,12196,48,19972
228,"Edinburg city, Texas",1600000US4822660,45093,45093,71669,45093,-888888888.0,0,26576,41479,3614,9969,6803,19640,18641,34493,19640,18066,12862,48,22660
229,"Frisco city, Texas",1600000US4827684,97073,96852,138233,96852,-888888888.0,221,41160,93878,2974,12544,7938,42785,41553,70788,42877,44876,30862,48,27684
230,"Lewisville city, Texas",1600000US4842508,64222,64222,82606,64222,-888888888.0,0,18384,61784,2438,10219,7201,30438,29552,42413,30438,14456,11644,48,42508
231,"Lubbock city, Texas",1600000US4845000,131044,131044,203047,131044,-888888888.0,0,72003,127352,3692,19987,15176,63296,61697,104343,63296,35460,28305,48,45000
232,"Pharr city, Texas",1600000US4857200,33757,33757,55373,33757,-888888888.0,0,21616,32780,977,9359,5733,-999999999,-999999999,-999999999,-999999999,14959,7669,48,57200
233,"Salt Lake City city, Utah",1600000US4967000,116066,116010,164230,116010,-888888888.0,56,48164,112685,3325,14750,10272,50990,49846,79073,50990,23858,16835,49,67000
234,"Suffolk city, Virginia",1600000US5176432,48965,47349,72305,47349,-888888888.0,1616,23340,43359,3990,6823,3753,23667,21716,37548,23771,14543,11101,51,76432
235,"Marysville city, Washington",1600000US5343955,37604,37364,56091,37364,-888888888.0,240,18487,36066,1298,5955,3856,16611,16357,28863,16611,8576,5373,53,43955
236,"Sammamish city, Washington",1600000US5361115,33463,33463,48836,33463,-888888888.0,0,15373,32588,875,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,53,61115
237,"Spokane Valley city, Washington",1600000US5367167,50211,50211,77857,50211,-888888888.0,0,27646,48637,1574,8295,4341,24176,23491,41120,24176,15400,11030,53,67167
238,"Vancouver city, Washington",1600000US5374060,97945,97945,148291,97945,-888888888.0,0,50346,93633,4312,12812,8456,46371,44904,76681,46371,23923,17774,53,74060
239,"Kenosha city, Wisconsin",1600000US5539225,55263,54867,78886,54867,-888888888.0,396,23623,51092,3775,6787,4915,25987,24101,39391,25987,16020,13136,55,39225
240,"Carolina zona urbana, Puerto Rico",1600000US7214290,60000,59875,113466,59875,-888888888.0,125,53466,50605,9270,5329,3558,29262,23945,63133,29387,17173,13624,72,14290
241,"Buckeye city, Arizona",1600000US0407940,28984,28582,54754,28582,-888888888.0,402,25770,27390,1192,6055,3049,13260,12583,25109,13260,13950,8967,04,07940
242,"Surprise city, Arizona",1600000US0471510,61101,60310,107807,60310,-888888888.0,791,46706,56923,3387,8652,6045,29783,28519,56155,29867,23860,18104,04,71510
243,"Carson city, California",1600000US0611530,46452,46416,73340,46416,-888888888.0,36,26888,43614,2802,5079,3025,23922,22501,39454,23922,14581,10270,06,11530
244,"Chico city, California",1600000US0613014,53249,53249,78222,53249,-888888888.0,0,24973,49245,4004,5685,3857,26446,24996,40920,26446,11903,10201,06,13014
245,"Costa Mesa city, California",1600000US0616532,65937,65937,91546,65937,-888888888.0,0,25609,63542,2395,6744,4880,29319,28087,45740,29319,16731,9908,06,16532
246,"Elk Grove city, California",1600000US0622020,84755,84576,136557,84576,-888888888.0,179,51802,80183,4393,11758,8427,41298,39143,71334,41344,28478,18589,06,22020
247,"Glendale city, California",1600000US0630000,104152,104073,171105,104073,-888888888.0,79,66953,97641,6432,9962,6377,48800,45274,92813,48800,23361,14579,06,30000
248,"Hawthorne city, California",1600000US0632548,49627,49627,68063,49627,-888888888.0,0,18436,47780,1847,7122,4903,26299,25575,37212,26299,13289,11009,06,32548
249,"Irvine city, California",1600000US0636770,143105,142815,226562,142815,-888888888.0,290,83457,136737,6078,20489,10400,64964,61296,116221,65110,40511,24848,06,36770
250,"Lakewood city, California",1600000US0639892,47994,47994,66926,47994,-888888888.0,0,18932,44655,3339,6058,4947,23579,22113,34349,23579,8842,7509,06,39892
251,"Livermore city, California",1600000US0641992,50456,50456,71675,50456,-888888888.0,0,21219,48342,2114,8541,6129,23400,22558,36130,23400,11813,8672,06,41992
252,"Merced city, California",1600000US0646898,35432,35432,62756,35432,-888888888.0,0,27324,31529,3903,7043,3044,15273,14165,32787,15273,15451,7517,06,46898
253,"Murrieta city, California",1600000US0650076,55881,55513,84233,55513,-888888888.0,368,28352,52660,2853,8167,4172,25070,24053,41859,25070,23942,18057,06,50076
254,"Perris city, California",1600000US0656700,37107,37107,55432,37107,-888888888.0,0,18325,35997,1110,7893,4819,-999999999,-999999999,-999999999,-999999999,17635,9273,06,56700
255,"Sacramento city, California",1600000US0664000,256615,256111,401032,256111,-888888888.0,504,144417,239523,16588,37551,24736,122627,114842,208279,122669,72698,48976,06,64000
256,"Santa Ana city, California",1600000US0669000,173748,173479,256839,173479,-888888888.0,269,83091,164903,8576,26642,16594,74622,70137,125226,74622,51749,30671,06,69000
257,"Santa Clarita city, California",1600000US0669088,110233,110172,161611,110172,-888888888.0,61,51378,104395,5777,17938,10177,49902,46903,83443,49902,33894,23543,06,69088
258,"Union City city, California",1600000US0681204,42569,42544,62520,42544,-888888888.0,25,19951,41356,1188,5084,3307,17648,17209,30389,17648,7838,5214,06,81204
259,"Yuba City city, California",1600000US0686972,30443,30012,51278,30012,-888888888.0,431,20835,27098,2914,5415,3297,14850,13519,27728,14850,11257,6972,06,86972
260,"Loveland city, Colorado",1600000US0846465,42306,42306,61459,42306,-888888888.0,0,19153,41590,716,6528,4206,-999999999,-999999999,-999999999,-999999999,10557,8323,08,46465
261,"Norwalk city, Connecticut",1600000US0955990,50429,50429,73016,50429,-888888888.0,0,22587,47775,2654,5948,3860,23422,22192,37773,23422,11479,10187,09,55990
262,"Clearwater city, Florida",1600000US1212875,58806,58660,96619,58660,-888888888.0,146,37813,55475,3185,7035,4545,27067,25993,49000,27095,13203,11343,12,12875
263,"Deerfield Beach city, Florida",1600000US1216725,41593,41497,69608,41497,-888888888.0,96,28015,39173,2324,4084,2474,21309,20113,36258,21405,7152,5185,12,16725
264,"Deltona city, Florida",1600000US1217200,41466,41466,72703,41466,-888888888.0,0,31237,39450,2016,7012,4358,18474,17927,36773,18474,14407,8967,12,17200
265,"North Port city, Florida",1600000US1249675,31155,31155,60219,31155,-888888888.0,0,29064,30831,324,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,12,49675
266,"Orlando city, Florida",1600000US1253000,168698,168381,234725,168381,-888888888.0,317,66027,160474,7907,19278,12324,84557,80742,127440,84669,31539,23945,12,53000
267,"Pembroke Pines city, Florida",1600000US1255775,84967,84899,140917,84899,-888888888.0,68,55950,79392,5507,13080,9704,42211,39761,75526,42211,21393,17010,12,55775
268,"Plantation city, Florida",1600000US1257425,50566,50566,75729,50566,-888888888.0,0,25163,48575,1991,6087,4083,23216,22281,38976,23216,14600,11409,12,57425
269,"St. Petersburg city, Florida",1600000US1263000,144628,143922,222257,143922,-888888888.0,706,77629,137892,6030,16810,11397,72479,69678,116366,72504,26438,19613,12,63000
270,"Wesley Chapel CDP, Florida",1600000US1275875,35457,35457,50551,35457,-888888888.0,0,15094,34335,1122,4133,2566,16946,16401,26509,16946,11922,9586,12,75875
271,"West Palm Beach city, Florida",1600000US1276600,59502,59502,94087,59502,-888888888.0,0,34585,55524,3978,8324,5882,27539,25889,50183,27539,8715,7398,12,76600
272,"Roswell city, Georgia",1600000US1367284,52775,52709,75625,52709,-888888888.0,66,22850,51784,925,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,13,67284
273,"Chicago city, Illinois",1600000US1714000,1491109,1490953,2215495,1490953,-888888888.0,156,724386,1369653,121300,186222,135297,727091,664855,1143512,727091,334679,244720,17,14000
274,"South Bend city, Indiana",1600000US1871000,50066,50022,76577,50022,-888888888.0,44,26511,48308,1714,9679,6916,25610,24739,39587,25610,18954,15548,18,71000
275,"West Des Moines city, Iowa",1600000US1983910,39037,39037,53522,39037,-888888888.0,0,14485,37671,1366,5443,4119,-999999999,-999999999,-999999999,-999999999,9563,7794,19,83910
276,"Overland Park city, Kansas",1600000US2053775,109693,109415,156622,109415,-888888888.0,278,46929,106469,2946,12542,8180,50615,49188,79007,50615,28729,22108,20,53775
277,"Topeka city, Kansas",1600000US2071000,62265,62156,100895,62156,-888888888.0,109,38630,59040,3116,8798,6788,31703,30346,53154,31812,17788,14239,20,71000
278,"Portland city, Maine",1600000US2360545,41664,41664,56958,41664,-888888888.0,0,15294,40978,686,3213,2314,20392,20217,29447,20392,6766,5752,23,60545
279,"Silver Spring CDP, Maryland",1600000US2472450,51146,50987,65248,50987,-888888888.0,159,14102,49253,1734,6989,5331,25856,24862,34149,25856,10251,8984,24,72450
280,"Waldorf CDP, Maryland",1600000US2481175,44722,43244,61551,43244,-888888888.0,1478,16829,40807,2437,-999999999,-999999999,24013,22456,34731,24544,-999999999,-999999999,24,81175
281,"New Bedford city, Massachusetts",1600000US2545000,48460,48425,75696,48425,-888888888.0,35,27236,46191,2234,7707,5048,21860,20897,38254,21895,12475,8628,25,45000
282,"Detroit city, Michigan",1600000US2622000,286927,286927,526105,286927,-888888888.0,0,239178,249478,37449,53560,37042,150070,132413,282154,150070,99342,63336,26,22000
283,"Lansing city, Michigan",1600000US2646000,60392,60301,93189,60301,-888888888.0,91,32797,55491,4810,10482,7970,30837,28121,51478,30837,15639,12006,26,46000
284,"Rochester city, Minnesota",1600000US2754880,64828,64779,93328,64779,-888888888.0,49,28500,63353,1426,9804,6638,32030,31316,48163,32030,16423,14402,27,54880
285,"Springfield city, Missouri",1600000US2970000,76441,76441,142232,76441,-888888888.0,0,65791,72905,3536,10144,6554,36187,34656,73153,36187,15485,9839,29,70000
286,"Nashua city, New Hampshire",1600000US3350260,52248,52248,73820,52248,-888888888.0,0,21572,49974,2274,-999999999,-999999999,23670,23311,37221,23670,-999999999,-999999999,33,50260
287,"Camden city, New Jersey",1600000US3410000,28642,28642,53681,28642,-888888888.0,0,25039,25617,3025,-999999999,-999999999,14578,12882,29429,14578,-999999999,-999999999,34,10000
288,"East Orange city, New Jersey",1600000US3419390,33899,33899,49986,33899,-888888888.0,0,16087,28974,4925,-999999999,-999999999,16997,14224,27020,16997,-999999999,-999999999,34,19390
289,"Jersey City city, New Jersey",1600000US3436000,149217,149217,213236,149217,-888888888.0,0,64019,141780,7437,23379,16230,66066,61158,107002,66066,32185,19039,34,36000
290,"Brentwood CDP, New York",1600000US3608026,33018,33018,49119,33018,-888888888.0,0,16101,31570,1448,-999999999,-999999999,14798,14098,24912,14798,-999999999,-999999999,36,08026
291,"New York city, New York",1600000US3651000,4345395,4342954,6839186,4342954,-888888888.0,2441,2493791,4093734,249220,594202,379500,2138883,2019102,3631711,2139590,1052765,717048,36,51000
292,"Schenectady city, New York",1600000US3665508,34601,34505,53816,34505,-888888888.0,96,19215,30841,3664,4858,2862,15337,14206,26492,15337,7157,5477,36,65508
293,"Toledo city, Ohio",1600000US3977000,132561,132456,217984,132456,-888888888.0,105,85423,121600,10856,20805,14944,67805,62547,114332,67805,38864,27748,39,77000
294,"Lawton city, Oklahoma",1600000US4041850,44428,35420,73607,35420,-888888888.0,9008,29179,33152,2268,7047,3753,18099,16927,34719,19417,12259,8016,40,41850
295,"Tulsa city, Oklahoma",1600000US4075000,202641,202470,312567,202470,-888888888.0,171,109926,192283,10187,31348,20369,96385,90746,163433,96414,61018,41341,40,75000
296,"Portland city, Oregon",1600000US4159000,387749,387516,548761,387516,-888888888.0,233,161012,372004,15512,39044,30077,189173,180911,279318,189173,72542,54200,41,59000
297,"Reading city, Pennsylvania",1600000US4263624,39974,39939,64831,39939,-888888888.0,35,24857,35382,4557,8855,7018,19315,17259,34157,19315,17007,12343,42,63624
298,"Warwick city, Rhode Island",1600000US4474300,43612,43612,69013,43612,-888888888.0,0,25401,42128,1484,4029,3495,21361,20410,36714,21361,9368,7460,44,74300
299,"Columbia city, South Carolina",1600000US4516000,73368,64278,114131,64278,-888888888.0,9090,40763,59856,4422,7988,6160,32263,30472,56985,34379,12064,8997,45,16000
300,"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,389678,389362,541591,389362,-888888888.0,316,151913,375921,13441,50003,32165,189906,182528,283320,190058,78152,56159,47,52006
301,"Houston city, Texas",1600000US4835000,1211470,1210930,1807181,1210930,-888888888.0,540,595711,1146374,64556,194363,107548,533467,504609,910042,533537,351539,223147,48,35000
302,"Irving city, Texas",1600000US4837000,140525,140297,183922,140297,-888888888.0,228,43397,134498,5799,21937,13730,62104,58158,91430,62293,40401,31383,48,37000
303,"Mesquite city, Texas",1600000US4847892,69998,69998,101408,69998,-888888888.0,0,31410,67962,2036,12563,7760,33143,32058,54968,33143,30498,22454,48,47892
304,"Mission city, Texas",1600000US4848768,33271,33271,56660,33271,-888888888.0,0,23389,31444,1827,9621,5618,-999999999,-999999999,-999999999,-999999999,17654,11008,48,48768
305,"Victoria city, Texas",1600000US4875428,31561,31561,52193,31561,-888888888.0,0,20632,29770,1791,4745,3037,15029,13833,27220,15029,11120,8700,48,75428
306,"Orem city, Utah",1600000US4957300,49639,49523,71834,49523,-888888888.0,116,22195,48662,861,9975,4759,21626,21051,35995,21626,17127,9636,49,57300
307,"West Jordan city, Utah",1600000US4982950,62832,62832,81870,62832,-888888888.0,0,19038,60391,2441,11418,5926,28688,28046,41128,28688,24776,18347,49,82950
308,"Norfolk city, Virginia",1600000US5157000,139297,112268,200900,112268,-888888888.0,27029,61603,103783,8485,17650,11965,57138,52745,95755,62783,27094,19912,51,57000
309,"Portsmouth city, Virginia",1600000US5164000,46474,42967,74516,42967,-888888888.0,3507,28042,40195,2772,8532,4088,21402,19824,38884,22131,11319,8805,51,64000
310,"Auburn city, Washington",1600000US5303180,42433,42336,64232,42336,-888888888.0,97,21799,40510,1826,6450,4560,18779,17837,32199,18779,12306,7825,53,03180
311,"Pasco city, Washington",1600000US5353545,33894,33894,49429,33894,-888888888.0,0,15535,31236,2658,7286,4372,15364,14670,23725,15364,15312,11543,53,53545
312,"Renton city, Washington",1600000US5357745,60867,60771,84831,60771,-888888888.0,96,23964,57773,2998,6776,4199,29772,28494,44621,29868,12117,8538,53,57745
313,"Yakima city, Washington",1600000US5380010,41354,41314,71659,41314,-888888888.0,40,30305,39804,1510,6500,4079,19478,18886,37011,19518,17732,12399,53,80010
314,"Milwaukee city, Wisconsin",1600000US5553000,292507,292241,455132,292241,-888888888.0,266,162625,276819,15422,49419,33338,148344,140974,238490,148368,92831,69889,55,53000
315,"Oshkosh city, Wisconsin",1600000US5560500,35622,35622,56211,35622,-888888888.0,0,20589,34036,1586,4777,3566,17325,16685,26529,17325,6032,4388,55,60500
316,"Bayamón zona urbana, Puerto Rico",1600000US7206593,61684,61655,131993,61655,-888888888.0,29,70309,54908,6747,7604,5292,29369,26747,71212,29369,19067,11398,72,06593
317,"Huntsville city, Alabama",1600000US0137000,100464,99843,160635,99843,-888888888.0,621,60171,94380,5463,14671,8371,47744,45007,85278,47744,25696,18414,01,37000
318,"Mesa city, Arizona",1600000US0446000,253148,253148,396354,253148,-888888888.0,0,143206,241819,11329,42361,26247,116049,110071,203234,116049,73998,49471,04,46000
319,"Peoria city, Arizona",1600000US0454050,86450,86148,136595,86148,-888888888.0,302,50145,82066,4082,12608,9005,40115,38868,70426,40168,26530,18341,04,54050
320,"Apple Valley town, California",1600000US0602364,28944,28944,55183,28944,-888888888.0,0,26239,26432,2512,4823,2657,12771,11046,29001,12771,15600,8652,06,02364
321,"Bellflower city, California",1600000US0604982,42123,42123,59627,42123,-888888888.0,0,17504,38931,3192,6338,3845,19548,18496,30288,19548,11743,8352,06,04982
322,"Buena Park city, California",1600000US0608786,48307,48307,66782,48307,-888888888.0,0,18475,45911,2396,4372,3543,24282,23401,34756,24282,12292,10575,06,08786
323,"Camarillo city, California",1600000US0610046,36048,35411,56066,35411,-888888888.0,637,20018,34041,1370,5944,4100,17608,16863,29823,17819,9408,7820,06,10046
324,"Chino city, California",1600000US0613210,43129,43129,73081,43129,-888888888.0,0,29952,41862,1267,6426,3390,-999999999,-999999999,-999999999,-999999999,13072,8564,06,13210
325,"Davis city, California",1600000US0618100,34658,34635,60379,34635,-888888888.0,23,25721,32777,1858,-999999999,-999999999,16875,16274,30421,16898,-999999999,-999999999,06,18100
326,"El Monte city, California",1600000US0622230,58114,57926,90925,57926,-888888888.0,188,32811,52475,5451,9311,6841,25905,23390,46444,25905,16595,11002,06,22230
327,"Fullerton city, California",1600000US0628000,75762,75674,112857,75674,-888888888.0,88,37095,71233,4441,10645,7700,36214,33930,58679,36214,17816,11452,06,28000
328,"Hesperia city, California",1600000US0633434,40123,39937,70663,39937,-888888888.0,186,30540,36602,3335,6956,3859,16478,14569,35060,16478,18647,10620,06,33434
329,"Huntington Beach city, California",1600000US0636000,109475,109261,166124,109261,-888888888.0,214,56649,105224,4037,10914,6553,49806,48397,83791,49806,27493,19635,06,36000
330,"Milpitas city, California",1600000US0647766,40766,40766,63484,40766,-888888888.0,0,22718,39307,1459,-999999999,-999999999,17813,17091,30518,17813,-999999999,-999999999,06,47766
