,STATE,zipcode,N1,N02650,A02650,avg_income
90,AL,35078,900.0,900.0,47566.0,52.85111111111111
91,AL,35079,3550.0,3550.0,188850.0,53.19718309859155
92,AL,35080,8130.0,8130.0,595049.0,73.19175891758917
93,AL,35083,1210.0,1210.0,61909.0,51.16446280991735
94,AL,35085,3420.0,3420.0,156880.0,45.87134502923977
95,AL,35087,840.0,840.0,34242.0,40.76428571428571
96,AL,35089,750.0,750.0,24930.0,33.24
97,AL,35091,1280.0,1280.0,90987.0,71.08359375
98,AL,35094,6270.0,6270.0,360369.0,57.47511961722488
99,AL,35096,3470.0,3470.0,194326.0,56.00172910662824
100,AL,35097,770.0,770.0,37935.0,49.26623376623377
101,AL,35098,540.0,540.0,25007.0,46.30925925925926
102,AL,35111,7170.0,7170.0,456355.0,63.647838214783825
103,AL,35114,3120.0,3120.0,210877.0,67.58878205128205
104,AL,35115,5180.0,5180.0,241494.0,46.62046332046332
105,AL,35116,1980.0,1980.0,130288.0,65.8020202020202
106,AL,35117,2690.0,2690.0,174730.0,64.95539033457248
107,AL,35118,1370.0,1370.0,63681.0,46.48248175182482
108,AL,35120,6250.0,6250.0,341216.0,54.59456
109,AL,35121,5930.0,5930.0,330282.0,55.69679595278246
110,AL,35124,11810.0,11810.0,969786.0,82.11566469093988
111,AL,35125,4310.0,4310.0,194595.0,45.14965197215777
112,AL,35126,9550.0,9550.0,508419.0,53.23759162303665
113,AL,35127,4450.0,4450.0,230376.0,51.76988764044944
114,AL,35128,4250.0,4250.0,265763.0,62.53247058823529
115,AL,35130,1250.0,1250.0,56970.0,45.576
116,AL,35131,1510.0,1510.0,64480.0,42.70198675496689
117,AL,35133,1600.0,1600.0,78119.0,48.824375
118,AL,35135,830.0,830.0,47313.0,57.003614457831326
119,AL,35136,640.0,640.0,30368.0,47.45
120,AL,35143,1270.0,1270.0,71371.0,56.19763779527559
121,AL,35146,4640.0,4640.0,315736.0,68.04655172413793
122,AL,35147,2330.0,2330.0,170912.0,73.35278969957082
123,AL,35148,1040.0,1040.0,46483.0,44.69519230769231
124,AL,35150,6930.0,6930.0,301880.0,43.56132756132756
125,AL,35151,2970.0,2970.0,150345.0,50.621212121212125
126,AL,35160,9720.0,9720.0,403708.0,41.53374485596708
127,AL,35171,1360.0,1360.0,73385.0,53.95955882352941
128,AL,35172,1100.0,1100.0,48493.0,44.084545454545456
129,AL,35173,13010.0,13010.0,1183100.0,90.93774019984627
130,AL,35175,2060.0,2060.0,120423.0,58.45776699029126
131,AL,35176,350.0,350.0,14801.0,42.28857142857143
132,AL,35178,1430.0,1430.0,68288.0,47.753846153846155
133,AL,35179,3870.0,3870.0,197287.0,50.97855297157623
134,AL,35180,5740.0,5740.0,329184.0,57.349128919860625
135,AL,35183,300.0,300.0,13408.0,44.693333333333335
136,AL,35184,2110.0,2110.0,96498.0,45.733649289099525
137,AL,35186,2040.0,2040.0,151528.0,74.27843137254902
138,AL,35188,1100.0,1100.0,59147.0,53.77
139,AL,35203,1530.0,1530.0,192223.0,125.6359477124183
140,AL,35204,3490.0,3490.0,89270.0,25.578796561604584
141,AL,35205,7640.0,7640.0,452609.0,59.242015706806285
142,AL,35206,6550.0,6550.0,202902.0,30.977404580152673
143,AL,35207,3130.0,3130.0,81217.0,25.947923322683707
144,AL,35208,5760.0,5760.0,163709.0,28.421701388888888
145,AL,35209,12040.0,12040.0,1383249.0,114.88779069767442
146,AL,35210,6620.0,6620.0,390412.0,58.974622356495466
147,AL,35211,10300.0,10300.0,324207.0,31.47640776699029
148,AL,35212,4560.0,4560.0,171169.0,37.53706140350877
149,AL,35213,7030.0,7030.0,1702548.0,242.18321479374112
150,AL,35214,8310.0,8310.0,315278.0,37.9395908543923
151,AL,35215,19760.0,19760.0,678148.0,34.31923076923077
152,AL,35216,16300.0,16300.0,1483586.0,91.01754601226993
153,AL,35217,4950.0,4950.0,167818.0,33.902626262626264
154,AL,35218,2540.0,2540.0,65082.0,25.62283464566929
155,AL,35221,1760.0,1760.0,47766.0,27.139772727272728
156,AL,35222,4070.0,4070.0,362897.0,89.16388206388207
157,AL,35223,5520.0,5520.0,1851402.0,335.3989130434783
158,AL,35224,2150.0,2150.0,65000.0,30.232558139534884
159,AL,35226,17040.0,17040.0,1797079.0,105.46238262910798
160,AL,35228,4230.0,4230.0,123422.0,29.177777777777777
161,AL,35233,870.0,870.0,66868.0,76.85977011494253
162,AL,35234,1790.0,1790.0,45822.0,25.598882681564245
163,AL,35235,9200.0,9200.0,392675.0,42.682065217391305
164,AL,35242,25640.0,25640.0,3565125.0,139.0454368174727
165,AL,35243,10130.0,10130.0,1502171.0,148.2893385982231
166,AL,35244,16370.0,16370.0,1614235.0,98.60934636530239
167,AL,35401,9970.0,9970.0,348337.0,34.93851554663992
168,AL,35404,7970.0,7970.0,319993.0,40.14968632371393
169,AL,35405,18310.0,18310.0,891361.0,48.68164937192791
170,AL,35406,6860.0,6860.0,984815.0,143.55903790087464
171,AL,35441,440.0,440.0,18441.0,41.91136363636364
172,AL,35442,1840.0,1840.0,69531.0,37.78858695652174
173,AL,35443,660.0,660.0,20732.0,31.412121212121214
174,AL,35444,1520.0,1520.0,75841.0,49.89539473684211
175,AL,35446,830.0,830.0,38833.0,46.78674698795181
176,AL,35447,1220.0,1220.0,49860.0,40.868852459016395
177,AL,35452,1600.0,1600.0,85995.0,53.746875
178,AL,35453,4860.0,4860.0,233791.0,48.105144032921814
179,AL,35456,1790.0,1790.0,83683.0,46.75027932960894
180,AL,35458,220.0,220.0,10458.0,47.53636363636364
181,AL,35459,320.0,320.0,11625.0,36.328125
182,AL,35460,210.0,210.0,6813.0,32.44285714285714
183,AL,35461,690.0,690.0,32003.0,46.381159420289855
184,AL,35462,1870.0,1870.0,64129.0,34.29358288770054
185,AL,35463,810.0,810.0,39570.0,48.851851851851855
186,AL,35464,190.0,190.0,5257.0,27.66842105263158
187,AL,35466,2250.0,2250.0,111756.0,49.669333333333334
188,AL,35469,130.0,130.0,5038.0,38.753846153846155
189,AL,35470,1820.0,1820.0,80345.0,44.145604395604394
190,AL,35473,7190.0,7190.0,419018.0,58.2778859527121
191,AL,35474,2890.0,2890.0,142789.0,49.40795847750865
192,AL,35475,6970.0,6970.0,554735.0,79.58895265423243
193,AL,35476,3620.0,3620.0,153695.0,42.45718232044199
194,AL,35480,670.0,670.0,37571.0,56.07611940298507
195,AL,35481,1280.0,1280.0,51398.0,40.1546875
196,AL,35490,1780.0,1780.0,98543.0,55.36123595505618
197,AL,35501,3620.0,3620.0,155212.0,42.87624309392265
198,AL,35503,3310.0,3310.0,164569.0,49.718731117824774
199,AL,35504,5200.0,5200.0,331220.0,63.69615384615385
200,AL,35540,940.0,940.0,42071.0,44.7563829787234
201,AL,35541,1320.0,1320.0,82700.0,62.65151515151515
202,AL,35542,430.0,430.0,18926.0,44.013953488372096
203,AL,35543,380.0,380.0,15145.0,39.85526315789474
204,AL,35544,230.0,230.0,9769.0,42.47391304347826
205,AL,35546,1510.0,1510.0,69611.0,46.1
206,AL,35548,580.0,580.0,20802.0,35.86551724137931
