,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
79,0500000US17031,"Cook County, Illinois",5180493,48.6,51.4,6.1,15.7,8.8,16.3,13.5,12.5,12.3,8.3,6.3,37,78.2,74.7,18.2,14.6,1129672,50.9,49.1,4050821,47.9,52.1,1302818,49.9,50.1,1990062,48.8,51.2,757941,42.2,57.8,17,031
80,0500000US29189,"St. Louis County, Missouri",996945,47.4,52.6,5.9,16.1,8.5,12.9,11.9,12.5,14.1,10.2,7.9,40.4,78,74.6,22.2,18.1,219527,50.9,49.1,777418,46.4,53.6,212677,49.1,50.9,384220,47,53,180521,41.9,58.1,29,189
81,0500000US53033,"King County, Washington",2233163,50.2,49.8,5.8,14.5,8.1,18.4,15,13.1,11.9,7.9,5.3,36.8,79.7,76.5,16.5,13.2,452860,50.9,49.1,1780303,50,50,591141,51.8,48.2,894271,50.7,49.3,294891,44.4,55.6,53,033
82,0500000US17043,"DuPage County, Illinois",928589,49.2,50.8,5.9,16.7,8.6,12.7,13,13.5,14,9.2,6.3,39.5,77.3,73.7,19.4,15.5,210579,51.5,48.5,718010,48.5,51.5,197909,50.9,49.1,376340,48.9,51.1,143761,44.3,55.7,17,043
83,0500000US17089,"Kane County, Illinois",534216,49.9,50.1,6.3,19.1,9,11.8,13.6,13.9,12.5,8.4,5.3,37.7,74.5,70.6,16.8,13.7,135996,51.4,48.6,398220,49.3,50.7,111487,50.9,49.1,213652,50,50,73081,45.1,54.9,17,089
84,0500000US53053,"Pierce County, Washington",891299,49.8,50.2,6.7,16.8,8.9,15.6,13.4,12.4,12.5,8.5,5.3,36.4,76.5,73,17.5,13.8,209271,51.3,48.7,682028,49.3,50.7,217921,51.9,48.1,340850,49.3,50.7,123257,44.9,55.1,53,053
85,0500000US31055,"Douglas County, Nebraska",566880,49.3,50.7,7.5,18.1,9.1,15.5,13.4,11.7,11.6,7.9,5.2,34.8,74.4,70.5,16.3,13,145336,51,49,421544,48.7,51.3,139644,50.1,49.9,208039,49.6,50.4,73861,43.8,56.2,31,055
86,0500000US53061,"Snohomish County, Washington",814901,50.1,49.9,6.3,16.3,7.7,14.8,14.3,13.6,13.5,8.5,5,37.8,77.4,74.3,17.1,13.5,184546,50.8,49.2,630355,49.8,50.2,183730,51.5,48.5,336742,50.5,49.5,109883,44.9,55.1,53,061
87,0500000US53063,"Spokane County, Washington",514631,49.3,50.7,6.1,16,9.3,15,12.6,11.7,13,9.8,6.4,37.8,77.8,73.7,19.8,16.2,114053,50.4,49.6,400578,49,51,125201,51.3,48.7,191875,49.2,50.8,83502,45,55,53,063
88,0500000US17197,"Will County, Illinois",692310,49.7,50.3,5.8,19,9.2,11.9,13.5,15,12.6,7.9,5.1,38.1,75.2,71.1,16.3,13.1,171783,51.1,48.9,520527,49.2,50.8,145815,51.5,48.5,284283,49.5,50.5,90429,44.6,55.4,17,197
89,0500000US17097,"Lake County, Illinois",700832,50,50,5.7,18.3,10.3,11.1,12.5,14.1,13.7,8.5,5.8,38.5,75.9,71.3,18,14.2,168695,51.2,48.8,532137,49.6,50.4,150313,53.3,46.7,282023,49.2,50.8,99801,45.3,54.7,17,097
90,0500000US55079,"Milwaukee County, Wisconsin",948201,48.4,51.6,6.8,17.2,9.6,16.3,12.8,11.6,12.1,7.9,5.7,35.1,76,71.7,17.2,13.6,227433,51,49,720768,47.6,52.4,245542,49.3,50.7,346290,48.2,51.8,128936,42.7,57.3,55,079
91,0500000US55025,"Dane County, Wisconsin",542364,49.6,50.4,5.6,14.8,13.3,15.8,13.4,11.7,11.6,8.4,5.4,35.3,79.6,74.4,16.8,13.8,110871,50.6,49.4,431493,49.3,50.7,157857,51.2,48.8,198699,49.6,50.4,74937,44.8,55.2,55,025
92,0500000US18097,"Marion County, Indiana",954670,48.1,51.9,7.2,17.4,9.2,16.9,12.9,11.7,12,7.5,5.1,34.5,75.4,71.5,15.7,12.6,235211,51,49,719459,47.1,52.9,249420,48.4,51.6,349947,48,52,120092,42,58,18,097
93,0500000US32003,"Clark County, Nevada",2231647,49.9,50.1,6.3,16.9,8.2,14.9,13.8,13.3,11.8,9,5.7,37.6,76.8,73.2,18.1,14.7,517629,51,49,1714018,49.5,50.5,516331,50.7,49.3,868997,49.9,50.1,328690,46.5,53.5,32,003
94,0500000US34003,"Bergen County, New Jersey",936692,48.5,51.5,5.3,15.9,8.1,11.6,13.2,14.5,14.2,9.3,7.8,42,78.8,75.6,20.9,17.2,198333,51,49,738359,47.9,52.1,184593,50.5,49.5,392767,48.5,51.5,160999,43.3,56.7,34,003
95,0500000US20091,"Johnson County, Kansas",597555,49.2,50.8,6.3,18,7.9,13.7,14,13,12.5,8.8,5.7,37.8,75.6,72.7,18.1,14.5,145641,51.4,48.6,451914,48.5,51.5,129082,50.5,49.5,236308,49,51,86524,44.2,55.8,20,091
96,0500000US34007,"Camden County, New Jersey",507078,47.9,52.1,6.1,16.6,8.2,13.9,12.7,13.3,13.6,9.1,6.5,38.8,77.4,73.8,19.3,15.6,114758,49.9,50.1,392320,47.4,52.6,112190,50.1,49.9,200890,47.8,52.2,79240,42.4,57.6,34,007
97,0500000US34013,"Essex County, New Jersey",799767,48.1,51.9,6.6,17.1,8.8,13.8,14,14,12.3,7.7,5.8,37.8,76.4,72.6,17.4,13.6,188978,51,49,610789,47.2,52.8,180728,49.7,50.3,321529,48,52,108532,40.9,59.1,34,013
98,0500000US34025,"Monmouth County, New Jersey",621354,48.7,51.3,5,16.2,8.3,10.8,11.5,14.9,15.7,10.1,7.5,43.6,78.8,75.4,21.8,17.6,131726,51.2,48.8,489628,48,52,118598,51.3,48.7,261830,48.4,51.6,109200,43.7,56.3,34,025
99,0500000US34029,"Ocean County, New Jersey",601651,48.2,51.8,7.1,16.9,7.3,11,10,11.6,13.4,12,10.7,42.7,76.1,73.1,26.7,22.7,143989,51,49,457662,47.4,52.6,110209,51,49,211175,48.5,51.5,136278,42.7,57.3,34,029
100,0500000US34023,"Middlesex County, New Jersey",829685,49.4,50.6,5.8,15.9,9.3,13.6,13.8,13.7,13.1,8.6,6.4,38.7,78.3,73.8,18.4,15,179932,51.1,48.9,649753,48.9,51.1,189399,50.8,49.2,336216,49.8,50.2,124138,43.6,56.4,34,023
101,0500000US34017,"Hudson County, New Jersey",676061,49.7,50.3,6.9,13.5,8,21.1,15.8,12.2,10.7,6.7,5.1,35.3,79.6,76.6,15,11.8,138221,50.5,49.5,537840,49.5,50.5,196643,51.8,48.2,261279,50.2,49.8,79918,41.7,58.3,34,017
102,0500000US34031,"Passaic County, New Jersey",503310,48.8,51.2,6.7,17.1,9.7,13.3,12.8,13.1,12.7,8.2,6.3,37.4,76.2,72,18.1,14.5,119860,51.1,48.9,383450,48.1,51.9,115770,49.7,50.3,194469,49.1,50.9,73211,42.8,57.2,34,031
103,0500000US34039,"Union County, New Jersey",558067,48.8,51.2,6.3,17.1,8.4,12.9,13.7,14.2,13,8.1,6.3,38.8,76.6,73.2,17.8,14.4,130521,50.7,49.3,427546,48.2,51.8,118795,50.6,49.4,228498,49,51,80253,42.5,57.5,34,039
104,0500000US35001,"Bernalillo County, New Mexico",678701,49.1,50.9,5.5,16.2,9.1,14.7,12.9,12.1,13,9.8,6.6,37.8,78.3,74.3,19.8,16.4,147370,51.3,48.7,531331,48.5,51.5,162049,50.9,49.1,258066,48.9,51.1,111216,44.1,55.9,35,001
105,0500000US36005,"Bronx County, New York",1432132,47.1,52.9,7.2,17.6,10,16.1,12.6,12.5,11.2,7.1,5.7,34.4,75.2,71.2,15.9,12.8,355049,50.8,49.2,1077083,45.8,54.2,372852,49.1,50.9,521066,45.8,54.2,183165,39.3,60.7,36,005
106,0500000US20173,"Sedgwick County, Kansas",513607,49.6,50.4,6.9,18.8,9.2,14.1,12.4,11.4,12.7,8.6,5.9,35.7,74.3,70.6,18,14.5,131921,51.3,48.7,381686,49,51,119855,50.7,49.3,187523,49.5,50.5,74308,45,55,20,173
107,0500000US36029,"Erie County, New York",919719,48.4,51.6,5.5,14.8,9.2,14.3,11.2,12.7,14.4,10,8,40.3,79.8,75.6,22,18,186092,50.8,49.2,733627,47.7,52.3,216133,50.3,49.7,352278,48.4,51.6,165216,43,57,36,029
108,0500000US36059,"Nassau County, New York",1358343,48.7,51.3,5.5,16,8.8,11.7,12,13.9,14.3,9.8,8,41.7,78.6,74.9,21.6,17.8,291228,51.3,48.7,1067115,48,52,278457,50.8,49.2,547328,48.6,51.4,241330,43.4,56.6,36,059
109,0500000US36081,"Queens County, New York",2278906,48.5,51.5,6.2,13.9,7.6,16.1,13.7,13.5,13.2,8.8,6.8,39.2,79.9,76.8,19.1,15.7,458368,51.3,48.7,1820538,47.8,52.2,540265,49.9,50.1,922643,48.7,51.3,357630,42.3,57.7,36,081
