,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
86,0500000US53053,"Pierce County, Washington",704400,65.4,63.2,60.6,2.6,4.2,2.2,34.6,357423,59.6,58.9,56.8,2.1,3.6,53,053
87,0500000US55079,"Milwaukee County, Wisconsin",744548,64.9,64.8,61.9,2.9,4.5,0.1,35.1,390024,62.2,62.2,59.8,2.4,3.9,55,079
88,0500000US31055,"Douglas County, Nebraska",436866,70.8,70.6,67.8,2.8,3.9,0.2,29.2,223695,66.8,66.7,64.4,2.3,3.5,31,055
89,0500000US55025,"Dane County, Wisconsin",444373,71.6,71.3,70.1,1.2,1.7,0.3,28.4,225454,68.1,68,66.9,1.1,1.7,55,025
90,0500000US32003,"Clark County, Nevada",1770261,63.9,63.5,59.8,3.7,5.9,0.4,36.1,892472,59.1,59,55.7,3.3,5.7,32,003
91,0500000US34031,"Passaic County, New Jersey",396210,65,64.9,62.5,2.4,3.7,0.1,35,205345,58.8,58.6,56.1,2.5,4.2,34,031
92,0500000US17197,"Will County, Illinois",541119,69.7,69.7,66.6,3.1,4.4,0,30.3,273783,64.6,64.6,62,2.5,3.9,17,197
93,0500000US17097,"Lake County, Illinois",553103,68.1,66.7,63.6,3.1,4.6,1.4,31.9,277403,61.2,60.9,57.9,3,4.9,17,097
94,0500000US18097,"Marion County, Indiana",743414,66.9,66.8,62.7,4.1,6.2,0.1,33.1,392297,62.8,62.8,58.9,3.9,6.2,18,097
95,0500000US34025,"Monmouth County, New Jersey",507630,66.4,66.3,63.5,2.8,4.2,0.1,33.6,263633,60.7,60.6,58.1,2.5,4.2,34,025
96,0500000US34013,"Essex County, New Jersey",630633,66.5,66.5,61.9,4.6,7,0,33.5,332070,61.4,61.4,56.9,4.5,7.3,34,013
97,0500000US34029,"Ocean County, New Jersey",472770,58.5,58.4,55.7,2.7,4.6,0.1,41.5,248735,54.6,54.6,52,2.6,4.7,34,029
98,0500000US34023,"Middlesex County, New Jersey",670392,65,65,61.9,3.1,4.8,0,35,341637,58.5,58.5,55.9,2.5,4.4,34,023
99,0500000US34007,"Camden County, New Jersey",405626,65.1,65,60.8,4.2,6.5,0.1,34.9,213011,60.2,60.2,56.9,3.4,5.6,34,007
100,0500000US34003,"Bergen County, New Jersey",763161,66.4,66.4,63.8,2.6,4,0,33.6,396600,59.9,59.9,57.6,2.2,3.7,34,003
101,0500000US34039,"Union County, New Jersey",441782,70.2,70.1,67.1,3.1,4.4,0.1,29.8,228668,64.2,64.1,60.8,3.3,5.2,34,039
102,0500000US34017,"Hudson County, New Jersey",550007,70.1,70,67.2,2.8,4,0.1,29.9,278155,62,61.9,58.8,3.2,5.1,34,017
103,0500000US35001,"Bernalillo County, New Mexico",548549,61.9,61.4,58,3.4,5.6,0.5,38.1,281959,58,57.9,54.4,3.5,6,35,001
104,0500000US20091,"Johnson County, Kansas",469526,71.5,71.4,69.6,1.8,2.5,0.1,28.5,240720,65.6,65.6,63.9,1.7,2.6,20,091
105,0500000US36005,"Bronx County, New York",1115777,59.8,59.8,53.7,6.1,10.1,0,40.2,603526,55.5,55.4,49.9,5.6,10,36,005
106,0500000US36059,"Nassau County, New York",1102592,65.1,65.1,63,2.1,3.2,0.1,34.9,572432,59.7,59.7,57.9,1.8,3,36,059
107,0500000US20173,"Sedgwick County, Kansas",394965,66.5,66,63.1,3,4.5,0.5,33.5,201163,61.2,61.1,58.9,2.3,3.7,20,173
108,0500000US36081,"Queens County, New York",1869987,64.3,64.3,61,3.3,5.2,0,35.7,974706,58.4,58.4,55.3,3.2,5.4,36,081
109,0500000US36047,"Kings County, New York",2050989,63.5,63.4,60.3,3.1,4.9,0,36.5,1099562,59.4,59.4,56.9,2.5,4.2,36,047
110,0500000US36061,"New York County, New York",1418001,66.9,66.9,63.6,3.3,4.9,0,33.1,753382,63.2,63.1,60,3.2,5,36,061
111,0500000US36119,"Westchester County, New York",783313,65.4,65.4,62,3.4,5.1,0,34.6,408935,60.1,60.1,57.1,3,5,36,119
112,0500000US36055,"Monroe County, New York",605945,63,63,59.8,3.2,5.1,0,37,317792,59.4,59.4,56.7,2.7,4.5,36,055
113,0500000US36103,"Suffolk County, New York",1208636,64.4,64.3,61.8,2.5,3.9,0.1,35.6,618208,59,59,56.9,2.1,3.6,36,103
114,0500000US36029,"Erie County, New York",757371,62,62,59.5,2.4,3.9,0.1,38,394725,58.5,58.5,56.6,1.9,3.3,36,029
115,0500000US37119,"Mecklenburg County, North Carolina",863355,70.9,70.8,68,2.8,4,0.1,29.1,454389,64.5,64.5,61.9,2.6,4,37,119
116,0500000US21111,"Jefferson County, Kentucky",619256,65.3,65.2,61.9,3.4,5.2,0.1,34.7,324467,60.7,60.7,57.6,3.1,5.1,21,111
117,0500000US37081,"Guilford County, North Carolina",427824,62.9,62.8,59.4,3.4,5.4,0.1,37.1,228756,58.5,58.5,54.8,3.7,6.3,37,081
118,0500000US37183,"Wake County, North Carolina",860242,70.6,70.5,68.2,2.3,3.3,0.1,29.4,446774,64.7,64.7,62.3,2.4,3.7,37,183
119,0500000US39061,"Hamilton County, Ohio",650356,67,67,64.3,2.6,3.9,0,33,341600,62.7,62.7,60.3,2.3,3.7,39,061
120,0500000US39049,"Franklin County, Ohio",1038679,69.3,69.3,66.1,3.2,4.6,0.1,30.7,538249,65.3,65.2,62.4,2.8,4.3,39,049
121,0500000US25017,"Middlesex County, Massachusetts",1335097,69.7,69.6,66.9,2.7,3.9,0.1,30.3,687158,65.6,65.5,62.9,2.6,4,25,017
122,0500000US25005,"Bristol County, Massachusetts",461547,64.9,64.9,61.7,3.2,4.9,0,35.1,241055,61.8,61.8,59,2.8,4.6,25,005
123,0500000US25023,"Plymouth County, Massachusetts",421771,66.8,66.7,63.5,3.2,4.8,0.1,33.2,218394,62.8,62.8,60.3,2.5,3.9,25,023
124,0500000US25009,"Essex County, Massachusetts",642420,67.7,67.6,64.1,3.6,5.3,0,32.3,336078,63.2,63.2,59.8,3.3,5.3,25,009
125,0500000US25021,"Norfolk County, Massachusetts",576828,68.8,68.7,65.7,3,4.4,0.1,31.2,304291,64.7,64.7,61.9,2.8,4.4,25,021
126,0500000US39153,"Summit County, Ohio",443156,64.9,64.8,61.1,3.7,5.7,0.1,35.1,230546,61,61,57.4,3.6,5.9,39,153
127,0500000US39035,"Cuyahoga County, Ohio",1015678,63.2,63.2,58.8,4.4,6.9,0,36.8,539710,60,59.9,56.2,3.7,6.2,39,035
128,0500000US39113,"Montgomery County, Ohio",428446,62.8,62.6,58.8,3.7,5.9,0.3,37.2,225079,58.3,58.1,54.9,3.2,5.5,39,113
129,0500000US26125,"Oakland County, Michigan",1028049,65.8,65.8,63.2,2.6,3.9,0,34.2,530188,59.1,59.1,56.8,2.3,3.9,26,125
130,0500000US26163,"Wayne County, Michigan",1386184,59.1,59,54.4,4.7,7.9,0,40.9,729453,54.8,54.8,50.6,4.2,7.6,26,163
131,0500000US26081,"Kent County, Michigan",512345,69.8,69.8,66.4,3.4,4.8,0,30.2,263168,64.4,64.4,61.8,2.7,4.1,26,081
132,0500000US24510,"Baltimore city, Maryland",491977,62.5,62.4,58.1,4.2,6.8,0.2,37.5,265773,60.8,60.8,56.4,4.4,7.2,24,510
133,0500000US24033,"Prince George's County, Maryland",727791,71.7,71.4,66.5,4.9,6.8,0.3,28.3,382304,67.9,67.8,62.8,5,7.4,24,033
134,0500000US24003,"Anne Arundel County, Maryland",461416,69.6,66.2,63.6,2.6,3.9,3.4,30.4,234451,65.6,64.2,61,3.1,4.9,24,003
135,0500000US24005,"Baltimore County, Maryland",668802,65.9,65.8,62.6,3.2,4.9,0.1,34.1,357087,62.5,62.5,59.7,2.8,4.5,24,005
136,0500000US24031,"Montgomery County, Maryland",835782,71.7,71.4,68.5,2.9,4.1,0.3,28.3,437493,66.3,66.1,63.3,2.8,4.3,24,031
137,0500000US25025,"Suffolk County, Massachusetts",688543,68.9,68.9,64.4,4.5,6.5,0.1,31.1,357799,66.8,66.7,63,3.8,5.7,25,025
138,0500000US25027,"Worcester County, Massachusetts",677563,66,66,62.9,3,4.6,0.1,34,346627,62.1,62.1,59.7,2.4,3.8,25,027
139,0500000US40143,"Tulsa County, Oklahoma",501470,65.7,65.7,62.7,2.9,4.5,0.1,34.3,260253,59.8,59.7,56.8,2.9,4.9,40,143
140,0500000US40109,"Oklahoma County, Oklahoma",608586,66.6,65.9,63.1,2.8,4.2,0.7,33.4,314706,61.7,61.4,58.9,2.5,4.1,40,109
141,0500000US26099,"Macomb County, Michigan",713650,64.4,64.3,61.5,2.8,4.4,0,35.6,370296,58.2,58.2,55.6,2.6,4.4,26,099
