,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,GEO_ID,NAME,S0201_213E,S0201_214E,S0201_215E,S0201_216E,S0201_217E,S0201_218E,S0201_219E,S0201_220E,S0201_221E,S0201_222E,S0201_223E,S0201_224E,S0201_225E,S0201_226E,S0201_227E,S0201_228E,S0201_229E,S0201_230E,S0201_231E,S0201_232E,S0201_233E,S0201_234E,S0201_235E,S0201_236E,S0201_237E,S0201_238E,S0201_239E,S0201_240E,S0201_241E,S0201_294E,S0201_295E,S0201_296E,S0201_301E,S0201_302E,S0201_303E,state,county
21,0500000US06073,"San Diego County, California",1130911,79079,81.9,103702,26.8,19255,5,10096,2.4,4149,18.3,33980,7.3,761247,90981,73.8,108144,8.3,61837,17.9,46928,3343364,37841,701025,472056,77850,63540,55646,48698,424451,60.8,39.2,510213,42.2,57.8,06,073
22,0500000US06037,"Los Angeles County, California",3313908,68093,82.8,99981,25.2,17850,6.9,9890,3.2,4489,11.6,33920,8.3,2193349,76551,67.3,94086,10.4,58083,22.3,47213,10105518,34115,2034849,1442542,73607,60339,48531,44280,1053837,56.1,43.9,1726524,42.9,57.1,06,037
23,0500000US06065,"Riverside County, California",728103,66964,77.6,89642,32.2,19202,5.6,10090,3.1,4446,17.4,32454,8.2,524194,76938,74.4,88794,8.3,61491,17.3,43122,2450758,28961,454370,291002,65932,55066,50573,40944,342672,59.3,40.7,219257,39,61,06,065
24,0500000US06071,"San Bernardino County, California",638647,63857,80.5,84236,27.2,17509,7.1,10183,3.9,4750,15.8,31186,12.7,486914,70981,69.3,83576,9.6,51941,21.1,42561,2171603,25486,414978,263075,60387,50594,47194,40890,274558,62.9,37.1,242111,42.4,57.6,06,071
25,0500000US06085,"Santa Clara County, California",645108,126606,85.3,173876,23.1,21274,5.2,10273,1.5,5004,13.6,36439,4.1,461799,144690,79.8,165859,6.6,81765,13.6,71752,1937570,58588,450349,294556,129808,92611,95797,67330,249076,66.8,33.2,275644,53.8,46.2,06,085
26,0500000US06019,"Fresno County, California",309519,52629,78.9,73144,26.7,17373,8.2,9471,7.2,3914,16.4,28569,17.9,220824,60114,65,76579,10,45204,25.1,33801,994400,23834,157228,110165,57484,51904,45075,39692,109903,68.4,31.6,140332,44.5,55.5,06,019
27,0500000US06029,"Kern County, California",273167,51579,78.5,72913,27.5,16735,7.6,11059,5.8,5570,14.5,32802,17.3,201894,57105,67.4,72016,10.6,45070,22,29474,896764,22778,141837,82029,61120,48636,44140,36237,107376,65.4,34.6,107377,44,56,06,029
28,0500000US06059,"Orange County, California",1040394,89759,82,121791,27.1,20360,4.4,9885,2,4095,15.9,37804,5.9,735186,102047,76.2,119505,7.2,76655,16.5,56091,3185968,41722,664033,459422,92438,65620,62191,51018,415546,60.4,39.6,421773,44.1,55.9,06,059
29,0500000US06111,"Ventura County, California",271980,84566,80.5,108404,32.9,20328,4,9083,1.9,3798,19.5,35601,7.5,194306,94483,76.7,109002,7.6,68416,15.7,49552,850967,36791,167916,119467,79399,61077,56396,47542,119532,60.7,39.3,96198,41,59,06,111
30,0500000US06081,"San Mateo County, California",259654,124425,83.7,175406,28.2,21392,2.8,9641,1.3,5304,16.1,39407,3.2,182198,144622,80.1,163581,6.1,85236,13.8,78665,769545,62017,172779,129283,124499,98245,85068,71720,110313,63.1,36.9,98192,52,48,06,081
31,0500000US06077,"San Joaquin County, California",231917,64119,80,84845,28.6,17943,8.6,9982,4.3,4492,17.4,30801,15.4,174492,70745,67.8,87974,10,62768,22.1,37200,752660,27217,144224,89901,63897,50644,47841,41046,88179,65,35,100201,45.9,54.1,06,077
32,0500000US08031,"Denver County, Colorado",310324,68377,84.4,101501,19.6,18336,3.6,9240,2.2,2651,11.2,29786,8,145101,90020,74.5,110654,7.3,61258,18.3,43509,716492,44556,175333,135149,83743,64308,56503,51551,111213,72.7,27.3,152232,52.8,47.2,08,031
33,0500000US08059,"Jefferson County, Colorado",233272,85890,81.2,105816,28,20633,2.9,9784,1.4,3749,19.4,33675,4.3,148258,107501,78.5,118551,8,81624,13.5,58328,580233,43551,136311,102681,80980,63362,61948,51088,116923,76.3,23.7,68330,49.4,50.6,08,059
34,0500000US48029,"Bexar County, Texas",644193,54149,79.7,74752,25.8,17037,6.3,8707,1.9,2845,16.7,28992,13.8,411518,66925,68.8,79781,8.1,51661,23.1,37673,1986049,26470,379018,298105,58640,46992,42440,37626,223431,71,29,244919,49,51,48,029
35,0500000US48121,"Denton County, Texas",297899,88117,88.5,112674,19.7,22415,2,9802,0.7,2987,14.1,26646,4.5,212406,106492,81.8,120168,5.3,76676,12.9,62121,859064,40968,198688,149452,88370,62710,65244,50745,143616,75.8,24.2,98181,54.4,45.6,48,121
36,0500000US48141,"El Paso County, Texas",270160,43958,79.5,62602,28.4,14222,6.1,8070,2.2,2349,14.4,27334,21.2,190227,49356,65.2,59180,8.5,49199,26.3,28984,840758,21687,161051,107574,51437,40599,38085,31630,89763,63,37,97142,50.3,49.7,48,141
37,0500000US48215,"Hidalgo County, Texas",237323,39165,78.9,58798,28.1,13407,9.2,8008,1.7,2074,11.4,24904,29,190170,43286,65.1,53155,5.9,39302,29,25129,865939,16819,132757,94665,47420,36962,36053,30147,66585,64.2,35.8,65316,46.3,53.7,48,215
38,0500000US48453,"Travis County, Texas",486548,76392,88,108354,17.7,19540,2.9,9699,1,3257,11.9,33812,7.6,281467,98859,75.1,118200,7.8,63641,17.1,47775,1248743,44782,309564,224892,89178,64154,60245,50776,167770,72.8,27.2,224776,51.4,48.6,48,453
39,0500000US48085,"Collin County, Texas",344824,96051,88.6,123173,18.3,21746,2.9,9960,1,2704,11,32378,2.8,253044,112877,83.3,125638,4.8,81294,11.9,57734,1005146,43910,237561,168397,100031,65486,76698,52271,157822,74.3,25.7,115409,55.4,44.6,48,085
40,0500000US08001,"Adams County, Colorado",168361,70743,86.3,87226,23.1,19031,2.5,10783,1.3,2720,14.4,25504,7.3,118115,78329,72.2,92623,9.6,62441,18.2,46770,511868,31072,119532,83249,63177,48819,49631,40852,80716,69.4,30.6,56830,43.7,56.3,08,001
41,0500000US08041,"El Paso County, Colorado",260851,68119,81.9,84267,26.1,18992,3.6,9545,1.8,3061,22.9,29801,8.4,176041,78805,77.7,90332,7.3,55832,14.9,38231,713856,33536,156757,101162,67706,52238,51689,40187,122729,71.6,28.4,84916,46.6,53.4,08,041
42,0500000US08005,"Arapahoe County, Colorado",242141,76768,85.4,100541,24.3,20064,3.2,9443,1.6,2496,15.4,31265,6.4,158118,94416,76.2,106901,7.2,76299,16.7,46098,651215,39919,147491,109299,78248,62822,56112,47813,114011,71.8,28.2,87352,42.3,57.7,08,005
43,0500000US10003,"New Castle County, Delaware",206351,69479,79.5,92848,29.7,21441,4.4,11103,1.5,1975,22.3,27796,8.5,131524,86149,72.8,101217,8.2,62728,19,50606,559335,35859,107479,92897,75263,62442,58084,47868,94872,70,30,62472,49.4,50.6,10,003
44,0500000US11001,"District of Columbia, District of Columbia",287476,85203,79.9,134236,19.3,15505,4.9,8632,3.8,2818,14.4,43330,14,121529,117713,60.1,189213,8.4,61589,31.6,44478,702455,55328,149921,152436,110718,88580,81267,70911,90736,74,26,156172,53.5,46.5,11,001
